177917 [4, 3, 2, 3] 4 [1, 3]|Found route: [POIs: (2839, 176650, pharmacy, 0.3684201070003468), (2776, 176524, movie_theater, 0.5870164673866473), (2361, 179328, atm_bank, 0.5186796807193745), (2726, 179330, movie_theater, 0.08336406311442507), Length: 1.5574803182207935, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 110 ms|Time for KNN: 109 ms|Heap fetches: 36|Max heap size: 30
238468 [0, 1, 0, 4] 4 [0, 2]|Found route: [POIs: (348, 238982, restaurant, 0.5518961068303077), (358, 239013, coffee_shop, 0.0975296238702387), (358, 239013, restaurant, 0.0), (3062, 239151, pharmacy, 0.03994487483586981), Length: 0.6893706055364162, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 7 ms|Time for KNN: 6 ms|Heap fetches: 11|Max heap size: 9
14471 [6, 6, 6, 5] 4 [0, 2]|Found route: [POIs: (4444, 14488, gas_station, 0.5742928181005905), (4443, 12115, gas_station, 0.18814660596834426), (4443, 12115, gas_station, 0.0), (4093, 12641, pub_bar, 1.1932005734785276), Length: 1.9556399975474623, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 65 ms|Time for KNN: 64 ms|Heap fetches: 33|Max heap size: 29
116760 [3, 6, 3, 6] 4 [0, 2]|Found route: [POIs: (2783, 138754, movie_theater, 4.474850634774592), (4414, 139471, gas_station, 0.8201754509380631), (2773, 139144, movie_theater, 0.24783093141930856), (4414, 139471, gas_station, 0.24783093141930854), Length: 5.7906879485512714, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 740 ms|Time for KNN: 740 ms|Heap fetches: 68|Max heap size: 64
270777 [2, 3, 0, 2] 4 [0, 3]|Found route: [POIs: (2630, 268879, atm_bank, 1.5261492962147993), (2723, 271215, movie_theater, 2.311845120419215), (870, 272339, restaurant, 1.3779216629538569), (2119, 272527, atm_bank, 0.2227726444717404), Length: 5.438688724059611, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 65 ms|Time for KNN: 64 ms|Heap fetches: 25|Max heap size: 20
363614 [3, 3, 4, 3] 4 [1, 3]|Found route: [POIs: (2727, 363315, movie_theater, 1.1884479384982813), (2727, 363315, movie_theater, 0.0), (3106, 354254, pharmacy, 4.015465491991419), (2747, 275432, movie_theater, 2.7346733709426068), Length: 7.938586801432308, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 270 ms|Time for KNN: 269 ms|Heap fetches: 55|Max heap size: 34
194430 [3, 2, 3, 5] 4 [0, 2]|Found route: [POIs: (2681, 204019, movie_theater, 4.574423445056566), (2528, 165177, atm_bank, 6.390757596612951), (2777, 166597, movie_theater, 1.1339207623789374), (3478, 166617, pub_bar, 0.04855426596881568), Length: 12.147656070017266, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 5623 ms|Time for KNN: 5621 ms|Heap fetches: 299|Max heap size: 247
110233 [1, 2, 1, 0] 4 [0, 2]|Found route: [POIs: (1234, 195711, coffee_shop, 2.0103807008884527), (2503, 195712, atm_bank, 0.02947818591621697), (761, 195716, coffee_shop, 0.13086243680513115), (761, 195716, restaurant, 0.0), Length: 2.1707213236098006, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 50 ms|Time for KNN: 50 ms|Heap fetches: 29|Max heap size: 21
43858 [1, 4, 5, 4] 4 [1, 3]|Found route: [POIs: (1840, 13358, coffee_shop, 5.271819696794837), (3284, 13532, pharmacy, 0.13264450761833713), (4089, 13556, pub_bar, 0.09310137070612347), (3280, 13697, pharmacy, 0.07343940150342651), Length: 5.571004976622723, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 177 ms|Time for KNN: 176 ms|Heap fetches: 48|Max heap size: 46
52524 [3, 5, 0, 3] 4 [0, 3]|Found route: [POIs: (2782, 56332, movie_theater, 2.990916148436291), (3455, 57455, pub_bar, 0.15196872269083628), (1439, 57455, restaurant, 0.0), (2797, 57488, movie_theater, 0.06412075298050063), Length: 3.207005624107628, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 51 ms|Time for KNN: 50 ms|Heap fetches: 22|Max heap size: 20
147933 [1, 6, 1, 0] 4 [0, 2]|Found route: [POIs: (552, 147483, coffee_shop, 0.11102030043933053), (4535, 147405, gas_station, 0.44320605468503754), (1700, 147503, coffee_shop, 0.06937421625489362), (1700, 147503, restaurant, 0.0), Length: 0.6236005713792616, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 34 ms|Time for KNN: 34 ms|Heap fetches: 26|Max heap size: 22
256022 [1, 3, 1, 1] 4 [0, 2]|Found route: [POIs: (820, 255639, coffee_shop, 0.9010563609971154), (2722, 255396, movie_theater, 1.014285149594672), (617, 252644, coffee_shop, 1.6013766794694202), (617, 252644, coffee_shop, 0.0), Length: 3.5167181900612077, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 80 ms|Time for KNN: 80 ms|Heap fetches: 10|Max heap size: 8
161328 [5, 6, 0, 5] 4 [0, 3]|Found route: [POIs: (3474, 155149, pub_bar, 0.7281820170459369), (4367, 150488, gas_station, 0.2829737999504339), (1196, 155143, restaurant, 0.7195757224975896), (3940, 161400, pub_bar, 0.2614209754570092), Length: 1.9921525149509693, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 177 ms|Time for KNN: 176 ms|Heap fetches: 98|Max heap size: 92
144089 [4, 3, 1, 4] 4 [0, 3]|Found route: [POIs: (2963, 143918, pharmacy, 0.46700759381824586), (2812, 143772, movie_theater, 0.5462435233415881), (879, 143757, coffee_shop, 0.18522410468565448), (2919, 143540, pharmacy, 0.1504277739319287), Length: 1.348902995777417, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 87 ms|Time for KNN: 86 ms|Heap fetches: 83|Max heap size: 83
366657 [2, 0, 0, 2] 4 [0, 3]|Found route: [POIs: (2551, 341518, atm_bank, 1.1513136782729485), (240, 318183, restaurant, 0.29918480376088574), (240, 318183, restaurant, 0.0), (2220, 318215, atm_bank, 0.11454797210352684), Length: 1.565046454137361, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 14 ms|Time for KNN: 13 ms|Heap fetches: 12|Max heap size: 10
384187 [1, 0, 0, 1] 4 [0, 3]|Found route: [POIs: (98, 364689, coffee_shop, 2.841873105378338), (98, 364689, restaurant, 0.0), (1323, 364713, restaurant, 0.22648326505946081), (1323, 364713, coffee_shop, 0.0), Length: 3.068356370437799, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 58 ms|Time for KNN: 57 ms|Heap fetches: 69|Max heap size: 23
